Прогноз погоды: Нижний Новгород (56N, 44E)

| №   | Дата/время       | Температура °C | Осадки мм    |
| --- | ---------------- | ------------- | ------------ |
| 1   | 2026-06-04T00:00 | 9.2           | 0.0          |
| 2   | 2026-06-04T01:00 | 9.8           | 0.0          |
| 3   | 2026-06-04T02:00 | 11.4          | 0.0          |
| 4   | 2026-06-04T03:00 | 13.7          | 0.0          |
| 5   | 2026-06-04T04:00 | 16.0          | 0.0          |
| 6   | 2026-06-04T05:00 | 17.4          | 0.0          |
| 7   | 2026-06-04T06:00 | 18.6          | 0.0          |
| 8   | 2026-06-04T07:00 | 20.1          | 0.0          |
| 9   | 2026-06-04T08:00 | 21.1          | 0.0          |
| 10  | 2026-06-04T09:00 | 21.8          | 0.0          |
| 11  | 2026-06-04T10:00 | 21.6          | 0.0          |
| 12  | 2026-06-04T11:00 | 21.3          | 0.0          |
| 13  | 2026-06-04T12:00 | 21.3          | 0.0          |
| 14  | 2026-06-04T13:00 | 17.2          | 0.0          |
| 15  | 2026-06-04T14:00 | 17.5          | 0.0          |
| 16  | 2026-06-04T15:00 | 17.5          | 0.0          |
| 17  | 2026-06-04T16:00 | 16.6          | 0.0          |
| 18  | 2026-06-04T17:00 | 15.2          | 0.0          |
| 19  | 2026-06-04T18:00 | 13.1          | 0.0          |
| 20  | 2026-06-04T19:00 | 12.0          | 0.0          |
| 21  | 2026-06-04T20:00 | 11.1          | 0.0          |
| 22  | 2026-06-04T21:00 | 10.4          | 0.0          |
| 23  | 2026-06-04T22:00 | 10.6          | 0.0          |
| 24  | 2026-06-04T23:00 | 11.3          | 0.0          |
